,Sat2Earth_x,Sat2Earth_y,Sat2Earth_z
659,-18797,-4443.5,786.5
660,-18817,-4561.3,748.6
661,-18836,-4678.8,710.65
662,-18853,-4796,672.65
663,-18870,-4912.9,634.61
664,-18885,-5029.5,596.52
665,-18899,-5145.9,558.39
666,-18912,-5261.9,520.22
667,-18924,-5377.6,482.02
668,-18934,-5493,443.78
669,-18944,-5608.1,405.5
670,-18952,-5722.8,367.2
671,-18959,-5837.2,328.87
672,-18965,-5951.3,290.52
673,-18970,-6065.1,252.14
674,-18974,-6178.5,213.74
675,-18977,-6291.6,175.32
676,-18978,-6404.3,136.89
677,-18979,-6516.6,98.448
678,-18978,-6628.6,59.993
679,-18976,-6740.2,21.53
680,-18974,-6851.5,-16.939
681,-18970,-6962.3,-55.411
682,-18965,-7072.8,-93.883
683,-18959,-7182.9,-132.36
684,-18951,-7292.7,-170.84
685,-18943,-7402.1,-209.35
686,-18934,-7511.1,-247.85
687,-18924,-7619.8,-286.37
688,-18912,-7728.1,-324.88
689,-18900,-7836.1,-363.4
690,-18886,-7943.6,-401.91
691,-18872,-8050.8,-440.41
692,-18856,-8157.5,-478.9
693,-18840,-8263.8,-517.38
694,-18822,-8369.8,-555.84
695,-18803,-8475.2,-594.27
696,-18784,-8580.3,-632.69
697,-18763,-8684.9,-671.08
698,-18741,-8789.1,-709.44
699,-18719,-8892.8,-747.76
700,-18695,-8996,-786.06
701,-18670,-9098.8,-824.31
702,-18645,-9201.1,-862.52
703,-18618,-9303,-900.69
704,-18590,-9404.3,-938.82
705,-18562,-9505.2,-976.89
706,-18532,-9605.5,-1014.9
707,-18502,-9705.4,-1052.9
708,-18470,-9804.7,-1090.8
709,-18438,-9903.5,-1128.6
710,-18404,-10002,-1166.4
711,-18370,-10100,-1204.2
712,-18335,-10197,-1241.8
713,-18298,-10294,-1279.4
714,-18261,-10390,-1316.9
715,-18223,-10485,-1354.4
716,-18184,-10581,-1391.8
717,-18144,-10675,-1429.1
718,-18104,-10769,-1466.3
719,-18062,-10863,-1503.4
720,-18019,-10955,-1540.5
721,-17976,-11048,-1577.4
722,-17932,-11139,-1614.3
723,-17886,-11230,-1651.1
724,-17840,-11321,-1687.8
725,-17793,-11411,-1724.4
726,-17745,-11500,-1760.9
727,-17697,-11589,-1797.3
728,-17647,-11677,-1833.6
729,-17597,-11765,-1869.9
730,-17545,-11852,-1906
731,-17493,-11938,-1942
732,-17440,-12024,-1977.9
733,-17386,-12109,-2013.7
734,-17332,-12194,-2049.3
735,-17276,-12278,-2084.9
736,-17220,-12361,-2120.4
737,-17163,-12444,-2155.7
738,-17105,-12526,-2191
739,-17046,-12607,-2226.1
740,-16987,-12688,-2261.1
741,-16926,-12768,-2296
742,-16865,-12848,-2330.7
743,-16803,-12927,-2365.3
744,-16741,-13005,-2399.9
745,-16677,-13082,-2434.2
746,-16613,-13159,-2468.5
747,-16548,-13236,-2502.6
748,-16482,-13311,-2536.6
749,-16415,-13386,-2570.5
750,-16348,-13461,-2604.2
751,-16280,-13534,-2637.9
752,-16211,-13607,-2671.3
753,-16141,-13680,-2704.7
754,-16071,-13751,-2737.9
755,-16000,-13822,-2770.9
756,-15928,-13892,-2803.8
757,-15855,-13962,-2836.6
758,-15782,-14031,-2869.3
759,-15708,-14099,-2901.8
760,-15633,-14167,-2934.1
761,-15557,-14234,-2966.3
762,-15481,-14300,-2998.4
763,-15404,-14365,-3030.3
764,-15326,-14430,-3062.1
765,-15247,-14494,-3093.7
766,-15168,-14558,-3125.1
767,-15088,-14620,-3156.4
768,-15007,-14682,-3187.6
769,-14926,-14744,-3218.6
770,-14844,-14804,-3249.4
771,-14761,-14864,-3280.1
772,-14677,-14923,-3310.6
773,-14593,-14981,-3341
774,-14508,-15039,-3371.1
775,-14422,-15096,-3401.2
776,-14336,-15152,-3431
777,-14249,-15208,-3460.7
778,-14161,-15262,-3490.3
779,-14072,-15316,-3519.6
780,-13983,-15369,-3548.8
781,-13893,-15422,-3577.8
782,-13803,-15473,-3606.7
783,-13711,-15524,-3635.3
784,-13619,-15575,-3663.8
785,-13527,-15624,-3692.1
786,-13433,-15673,-3720.2
787,-13339,-15720,-3748.2
788,-13245,-15767,-3775.9
789,-13149,-15814,-3803.5
790,-13053,-15859,-3830.9
791,-12956,-15904,-3858.1
792,-12859,-15948,-3885.1
793,-12761,-15991,-3911.9
794,-12662,-16033,-3938.5
795,-12562,-16074,-3964.9
796,-12462,-16115,-3991.1
797,-12361,-16155,-4017.1
798,-12260,-16194,-4042.9
799,-12158,-16232,-4068.5
800,-12055,-16269,-4093.9
